"Name","Team","Rank","Andy","Jason","Mike"
"Mark Andrews","BAL","1","1","1","2"
"Travis Kelce","KC","2","2","2","1"
"Kyle Pitts","ATL","3","3","3","5"
"Dalton Schultz","DAL","4","4","4","3"
"George Kittle","SF","5","5","6","4"
"Darren Waller","LV","6","6","8","6"
"T.J. Hockenson","DET","7","8","5","7"
"Cole Kmet","CHI","8","10","7","9"
"Dallas Goedert","PHI","9","7","10","11"
"Zach Ertz","ARI","10","11","11","10"
"Dawson Knox","BUF","11","9","16","13"
"Pat Freiermuth","PIT","12","14","9","16"
"Noah Fant","SEA","13","13","13","18"
"Irv Smith Jr.","MIN","14","18","14","15"
"Evan Engram","JAX","15","20","21","8"
"Gerald Everett","LAC","16","21","12","17"
"Hunter Henry","NE","17","16","15","20"
"David Njoku","CLE","18","22","17","12"
"Mike Gesicki","MIA","19","15","18","19"
"Tyler Higbee","LAR","20","12","19","26"
"Albert Okwuegbunam","DEN","21","26","20","14"
"Logan Thomas","WAS","22","17","22","22"
"Austin Hooper","TEN","23","19","27","25"
"Mo Alie-Cox","IND","24","23","28","21"
"Robert Tonyan","GB","25","24","23","30"
"Hayden Hurst","CIN","26","28","25","24"
"Brevin Jordan","HOU","27","25","26","27"
"Adam Trautman","NO","28","29","34","23"
"Kyle Rudolph","TB","29","27","29","33"
"Cameron Brate","TB","30","35","32","28"
"Jonnu Smith","NE","31","33","30","34"
"Tommy Tremble","CAR","32","38","24","36"
"C.J. Uzomah","NYJ","33","34","33","31"
"Daniel Bellinger","NYG","34","31","39","29"
"Greg Dulcich","DEN","35","32","36","32"
"Trey McBride","ARI","36","30","35","35"
"Ricky Seals-Jones","","37","36","31","37"
"Will Dissly","SEA","38","37","38","39"
"Jelani Woods","IND","39","39","37","38"